,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
2772,@dagrimey1 @penny_lane_bbm well the ole er lotto is toast.But still way up on the day thanks to risk management.Which is good for my degenerate ass lol,0.295,0.154,0.551,0.6249,Positive
2773,@michellegeolle3 @kaye0909 @lenirobredo should take 2 ... those of you don't agree.Makes you fool! ... why not bbm!?!,0.17,0.0,0.83,0.5076,Positive
2774,@Mikefordays @penny_lane_bbm subbing for updates.,0.0,0.0,1.0,0.0,Neutral
2775,@Billywarwickldn https://t.co/xtekifukbr,0.0,0.0,1.0,0.0,Neutral
2776,BBM in Uni Community Need to Work on themselves,0.0,0.0,1.0,0.0,Neutral
2777,@Realsimpleariel i bought some commons 👀💀,0.0,0.0,1.0,0.0,Neutral
2778,@MaineJ29 Everywhere Bbm is shouting calculations,0.0,0.0,1.0,0.0,Neutral
2779,"@Moonbyulintl Bbm

#Moonbyul #cheese_in_the_trap",0.0,0.0,1.0,0.0,Neutral
2780,@_Rocketnft https://t.co/RJ5Lzowp20,0.0,0.0,1.0,0.0,Neutral
2781,"@dysmenorrella @maltiq have you ever been to the bbm youth that is ridiculed?You seem to have never been informed for 6 years when VP Leni's small honest mistakes have been laughed at.As well as placards written porridge, everything just notices.It is accused of fixture, NPA, everything.",0.158,0.089,0.753,0.5719,Positive
2782,@Sarapromotes https://t.co/jkh8mvowh9,0.0,0.0,1.0,0.0,Neutral
2783,"@Saskrlfess udh lama bgt jaman bbm kita sv contact satu sm laain, ga kenal cm sebatas tau aja oh this dia dr sekolah sebelah yg famous itu, trs pas itu dia komen status ak dan dr situ kita from chat dan temenan lebih dr sekedar tau,Klop bgt dh intlyya.kkeutt",0.0,0.0,1.0,0.0,Neutral
2784,@grmlynpn @mrunderrated30 @kennethxhampie @deped_ph naks.Changed but not naproofread before being released?!What kind of university is that.LOL So BBM is our president because we don't like stupid and lie.,0.121,0.082,0.797,0.3162,Positive
2785,"BBM will return to his home Malacañang - Toni G.

VP Leni is running for town.BBM is running to recover Malacañang.The size of the difference.It is still a brand in the Marcos brain that they own the Philippines.",0.0,0.0,1.0,0.0,Neutral
2786,@Penny_lane_bbm @_sharktrader @robintheblack #Thestrat Rob = 🐐,0.0,0.474,0.526,-0.5574,Negative
2787,He has a bbm perlu in seiring pergerakan,0.0,0.0,1.0,0.0,Neutral
2788,@Oubieth https://t.co/shkj3qlhjc,0.0,0.0,1.0,0.0,Neutral
2789,"@Marlon_Becco you were the first to speak the trashy and Juliana was fighting a hateful content, eh all is true, so what do you call BBM's first to create content and ruin?, More trashy and full of angerYour content as well as the rally.",0.138,0.112,0.75,0.0772,Positive
2790,"#Discount 10% |
Rp.265.000 -& gt;Rp.238.500 |
Haida top mocca |
WA: 087821272320 |BBM: D2004C86 |
https://t.co/1nqd5Nalck",0.13,0.0,0.87,0.2023,Positive
2791,"Derma Regent Pemuutih Seluruh Tubuh Hasil Relatif Singkat Tapat Aman ,, Bbm/SMS 277F90A9 -089607186713 https://t.co/g8s7Nchnlz",0.0,0.0,1.0,0.0,Neutral
2792,@dmaydg @imchristan to enlighten the naysayers about BBM's educational attainments https://t.co/ruoabka21l,0.248,0.0,0.752,0.5106,Positive
2793,"4/20 (水） 発売
『週刊 ベ ベ ボ ボ ボ 5/2 号』 Weekly Baseball No.19

月イチ 連載
中居 正広 の とことん 野球 好き !!

#週刊 ベ ベ ボ ボ ボ ボ
#中居 正広

https://t.co/homnvjtsbn
ベ ベ ボ ボ ボ ・ マガジン 社 BBM ＠ BOOK CART",0.0,0.0,1.0,0.0,Neutral
2794,"Alhamdulillah 🙏🏻 Menteri ESDM: Stok Bbm and LPG Termasuk Pertalite Tahun in this Aman.
This is a baik yg ga bikin khawatir 🤗
https://t.co/cj4xtkhmpu",0.0,0.0,1.0,0.0,Neutral
2795,@surgeeree @JulianParizcov per BBM supporters kase better daw.Okiii but we all know the real deal https://t.co/dw64esky70,0.218,0.0,0.782,0.4404,Positive
2796,Most bbm bbm ki dudugyot just facts,0.0,0.0,1.0,0.0,Neutral
2797,"@neilvivas_ please, the ex Kamampink to BBM Stories oftentimes sounds like a hoax",0.302,0.132,0.566,0.4019,Positive
2798,@Pinoyakoblog the yellow ones who have become a pint.BBM your mother is far from the survey as far as your mother says in the survey is the most untrusted government implore😂😂😂,0.0,0.0,1.0,0.0,Neutral
2799,"Hypocrite is the same as Isko's misogynist, BBM has many cases, BBM fanatics are like a cult of true Langs I really don't know what happened to Toni Gonzaga why she ended up as a ❤️💚👊✌️ Doesn't she know how to research?What is his intelligence use?",0.18,0.0,0.82,0.8299,Positive
2800,@Analynmuko ulol.Troll Tong account to pretend to be BBM supporter.Many silly silly here,0.162,0.103,0.735,-0.0516,Negative
2801,I feel like a guitest jud they have to do with my bbm all,0.185,0.0,0.815,0.3612,Positive
2802,MOBIL TALKI BERMUATAN 24 RIBU LITER BBM SOLAR ILGAL CONTINUED https://t.co/69KP9WDJCS,0.0,0.0,1.0,0.0,Neutral
2803,"BBM's rally rally has been reressed.Decrease traffic for South Peeps in DDCON.

#SB19 @SB19Official
#Bazinga_sb19 is my hype song!",0.0,0.0,1.0,0.0,Neutral
2804,"APA ITU BEKALE?

Live Chat:

FB: https://t.co/06VQBRCQQP
TW: https://t.co/USDEXOCOR6
HP: 081 229 779 89
BBM: 27B7BD7B",0.0,0.0,1.0,0.0,Neutral
2805,"Sudah Jelas Nih Kata Menteri Esdm: Stok Bbm Dan LPG Termasuk Pertalite Tahun It Aman😉 Jadi Tak Ada Yg Perlu DikhawaDrikan👍👍
https://t.co/KLMWX8USLA",0.0,0.0,1.0,0.0,Neutral
2806,@Penny_lane_bbm fire day for me.Clean 14% up on the account ❤️,0.0,0.194,0.806,-0.34,Negative
2807,@Penny_lane_bbm @_sharktrader @robintheblack it's crazy.When I follow my plan.It works.Then.The next day I go off my plan.Then slap myself.I'll learn!,0.1,0.0,0.9,0.2244,Positive
2808,Kasus Penallahgunaan Bbm Bersubsidi Terus Meniskat https://t.co/nbiumdzjqe,0.0,0.0,1.0,0.0,Neutral
2809,"BBM they accepted and voted for, Mobazane?😂 Like really, I love Filipinos hospitality.🤭",0.503,0.0,0.497,0.8439,Positive
2810,@Jnkerr13 @Lisaminess Lol,0.583,0.0,0.417,0.4215,Positive
2811,"MENERI ESDM: STOK BBM DAN LPG TERMASUK PERTALITE TAHUN IN AMAN, ALHAMDULILLAH AMAN GUYSS JADI TIDAK USAH KHAWATIR SONG 👍👍
https://t.co/d9hhqhzyns",0.0,0.0,1.0,0.0,Neutral
2812,@Perch_trades @_sharktrader @robintheblack thank you !!!,0.403,0.0,0.597,0.5229,Positive
2813,"@Itsjammagno im for BBM and I think there's no need to put energy on Catriona.Like any other supporters, she did fact checks, but how legit and accurate are those.It has been 30 years, and history was tampered.People from Marcos Era are the only ones who hold the truth.",0.126,0.031,0.842,0.5927,Positive
2814,"@Pigeon_x_ haha.Ah the drug protector of CamSur?The splashing wife who smiles so much while the husband is on the hill?The many hidden secrets?Oh, if Leni, no more, we feel that nothing has been done in Camsur.So many here can be BBM.",0.081,0.049,0.87,0.3485,Positive
2815,"Timbun BBM Bersubsidi, 1 Waga Pantee Bidari Diamankan https://t.co/us1TWH9POA",0.0,0.0,1.0,0.0,Neutral
2816,"Lilo ada yg selalu sms/
bbm you, itu tania
Dia Bukan Perhatian, tapi
Dia kesepian",0.0,0.0,1.0,0.0,Neutral
2817,"@Trillanessonny sir, hopefully BBM's budget is not true to all the mayor and governors funding on election day.",0.128,0.111,0.761,0.0946,Positive
2818,"BBM supporters are the trashiest supporters I know.I asked a question and they called me on messenger to attack me, disturbing my meeting!The problem w/ these people are they think asking a question is a form of argument.We ask to understand, not to argue!Chillax",0.115,0.192,0.693,-0.5972,Negative
2819,*Interessiert,0.0,0.0,1.0,0.0,Neutral
2820,"I dont hate Toni, actually I am a fan of her works.But saying that Malacañang is BBM's home?Gurl di kita naman hate but@i dont like you anymore!Pass!Pass!",0.293,0.067,0.639,0.7942,Positive
2821,Obat Telt Bulan Cytotec Kunjungi Web We are https://t.co/24MGHXJTSM HP/WA 082210743003/BBM.2BF0841D https://t.co/1p0dqwt2DM,0.0,0.0,1.0,0.0,Neutral
2822,@popmonkph @patricia64maria kow Fr.Myke will be mad at you tolonges .. to BBM those fan are .. 🤣🤣✌️,0.107,0.149,0.744,-0.2263,Negative
2823,@Gerrycacanindin stakes mag cacancel yan bbm sa moa for short notice,0.0,0.0,1.0,0.0,Neutral
2824,@juliraarafolsss saba oy bbm,0.0,0.0,1.0,0.0,Neutral
2825,tru bang bbm really that analynmuko hhahaha strength mang dogshow of lbm eh 😭,0.211,0.0,0.789,0.4939,Positive
2826,The Ilocos tiger is here.The Davaoeno eagle is here.Bbm Sara Duterte https://t.co/uyj0tsnham,0.0,0.0,1.0,0.0,Neutral
2827,Are you still BBM?Survey just hope he is awake ...,0.244,0.0,0.756,0.4404,Positive
2828,Bbm stans and DDS does not respect but ask for respect.#MarcosDuterte https://t.co/gtkisax447,0.0,0.139,0.861,-0.1967,Negative
2829,"This is not a Palestine tp in the world, Kota Ternate, Maluku pada saat aksi tolak kenaikan bbm.Senin (18/4/2022) https://t.co/nvjiFwyutz",0.0,0.0,1.0,0.0,Neutral
2830,"@angeljmie @dianesarah i have a friend of die hard bbm, i posted a pic by cayetano hand over vegetables in the afp after he commented for transparency so even if he needed a pic but vp leni showed coverage of help, suddenlyDon't be imedia!Double standards really!",0.174,0.076,0.75,0.6892,Positive
2831,"@13thfool lunch time i went to the fuente, a white t-shirt, a free bus padung sm seaside at srp.The BBM is not a print but Team Barug, a local political party.It simply means that they go there not for Marcos but for a local official.",0.054,0.0,0.946,0.2846,Positive
2832,"All the survey says that BBM leads by a mile vs all the other candidates.But soc med is reigned by Leni.I guess it can only be paid and we'll see what happens to the country after elections.
1",0.0,0.0,1.0,0.0,Neutral
2833,One box of BBM true heart '22 cards is shipped and on the way!Expect another unboxing stream soon!,0.166,0.0,0.834,0.5242,Positive
2834,"At this point hopefully all BBM fanatics will watch the Midnight Mass, to help you blind followers.",0.244,0.122,0.633,0.4019,Positive
2835,"Dari 21 Kasus, Petugas Amankan 44,5 TON BBM Bersubsidi https://t.co/fukdl11Aid",0.0,0.0,1.0,0.0,Neutral
2836,"Dapt 2 Mobil+Gaji Ratusan JT, Usia Baru 22thn (Testiyulianti) Mau SPRTI KAYO?INFO WA 081310748746 BBM: 5F4B369C https://t.co/ssh6eyekny",0.149,0.0,0.851,0.3885,Positive
2837,"Son Sekolah pada Sukses, Bisnis hwi = Bisnis Son Muda Yuk Join Diajarin Sampe Visote",0.145,0.0,0.855,0.296,Positive
2838,"BBM !!
#Ipatonatinito!#BBMSARA2022 #Election2022",0.0,0.0,1.0,0.0,Neutral
2839,FRUTABLEND SOLUSI KULT CANTIK & AMP;Bebas Jerawat +Bantu Jaga Keshatan Jantung Info Order BBM 5E1AB6C7 WA 082337878601 https://t.co/S5J2LWJLF7,0.0,0.0,1.0,0.0,Neutral
2840,Temen Macam APA LU!GUA BBM MINTA TOLONG CUMA DI 'R' DOANG GA DIREPLY.Ga tau diri lu!,0.0,0.0,1.0,0.0,Neutral
2841,FRUTABLEND # DOCTER KECANTICAN KELUARDA AT SOLUSI KULIT CANTIK @ ARTIS JUGA PAKE :-) Order SMS 081286985708 Bbm 2A0D3361 https://t.co/44PBDVMO5U,0.119,0.0,0.881,0.3182,Positive
2842,@alvinelchico @dorisbigornia bbm sara parin.Hahaha,0.0,0.0,1.0,0.0,Neutral
2843,"Satu Bukti Sukses LGI, Sambil Kuliah DPT Gaji 7jtaan & amp;jln gratis ln 2x/thn info bbm 5cc802ad wa 08981359103 https://t.co/wmhjvi9mwy",0.062,0.0,0.938,0.0516,Positive
2844,@Rbboley @penny_lane_bbm @_sharktrader @robintheblack easy money,0.367,0.0,0.633,0.4404,Positive
2845,@Jnkerr13 @penny_lane_bbm my butt hurts 😑,0.0,0.437,0.563,-0.4767,Negative
2846,@Penny_lane_bbm hot damn,0.0,0.574,0.426,-0.4019,Negative
2847,@Penny_lane_bbm it's no longer the darling it used to be.This Market is unforgiving,0.224,0.129,0.647,0.3818,Positive
2848,kurus kerempeng? ga nafsu makan? makan tapi ga gemuk2?Minum Mad Mr Pro Aja di Jamin Deh More Info BBM 5F1c0ca0 WA 083827582420 https://t.co/5safzuenau,0.0,0.145,0.855,-0.5775,Negative
2849,"@CoolSenSasn66 @Bamaquino Leni will not win because many do not trust the yelloshits and BBM will win.
But if Leni withdraws, many will drop BBM.BBM is no longer the president.",0.0,0.313,0.687,-0.8546,Negative
2850,"Dansat Brimob Plada Maluku Utara Kombbes Pol.Muhamad Erwin, S.H Member Tali ash Kepado Keluarga Bayi Dan iwu-ibu Penjual Takjil di Badan Jalan Menuju Bandara Sultan Babullah Yang Terdapak Aksi Bbm Jideland II.

.Fofato Kalaha.

""",0.0,0.0,1.0,0.0,Neutral
2851,pano yan si ricci bbm 🧍🏽‍♀️ hahshjakahsjahaha,0.0,0.0,1.0,0.0,Neutral
2852,@simple_potato__ you can only 6yrs BBM will be president of the same vice sara .. After 6yrs Sara nman is fine with you,0.076,0.0,0.924,0.2023,Positive
2853,$ 100 drop on $ nflx.Holy Crap.,0.0,0.61,0.39,-0.5719,Negative
2854,"@THEDAMNBROWN very logical explanation.Likely the mindset is to protect BBM because of Sara, unconscious reaction given that their usual reply to ""why BBM"" is just.Maybe the loyalty is actually with Sara.Bbms Camp Probash thought about this long and hard.Machiavellian nga.",0.138,0.0,0.862,0.7269,Positive
2855,"* bbm gebetan* ""Beb, km udah mkn blm?""|""Udah kok, ih km perhangan bgt si kayak Pembantu baru aku"" |""...""",0.0,0.0,1.0,0.0,Neutral
2856,"@Helmi_felis ya turun dr tanga.hahaha ...... sy lebih setuju kl bbm di buat satu harg and cabut itu subsidi, karena yg menik mati bkn msarakat bawah.siapapun presidenx.",0.0,0.0,1.0,0.0,Neutral
2857,"@Somi47767488 hahahahahahahahaha sure are you in the coa yan?Isn't that SALN?😂😂😂😂 In addition, they became a tenant BBM in Malacañang because that was the official residence of the presidents.Brain, before cut.",0.081,0.064,0.855,0.1431,Positive
2858,@agot_isidro @jaoSoon Mga cheat.Why is BBM's name not on the ballot here in Milan.Don't do it for us ah.You are demons.#COMELEC #BBMSARAUNITEAM #BBMSARA2022 #bbmismypresident2022 @attyharryroque @senimeemarcos,0.0,0.0,1.0,0.0,Neutral
2859,https://t.co/EYO91AXQ6A (BBM: 580A93C4),0.0,0.0,1.0,0.0,Neutral
2860,Sign up & amp;Upload acara ka di https://t.co/b97loaaeqq gratis !!|Cp.Media Partner: 081332166099 BBM 2A4F784A https://t.co/5Y48BRT0QC,0.121,0.0,0.879,0.1984,Positive
2861,@Badthony @penny_lane_bbm @_sharktrader @robintheblack I was about to tag you.I remember that from dms,0.0,0.0,1.0,0.0,Neutral
2862,@Penny_lane_bbm @_sharktrader @robintheblack let's go Blayne!That's a sick day,0.0,0.339,0.661,-0.5562,Negative
2863,"Astaghfirullah!Brutal Brutal Apparatus Kepolisian Dengan Melepaskan Gas Gas Air Eyes Kepad Mass Aksi ""Tolak Kenakan Harga Bbm"" Mengakibatkan Seorang Ibu Penjual Takjil, Tepatnya Didepan Bank Mandiri Kelurahan Tanah Raja Mengalami Sesak Nafas & amp;Hampir Meregang Nyawanya.https://t.co/VD6OXB59AO",0.0,0.114,0.886,-0.6588,Negative
2864,@jaicabajar ows?,0.0,0.0,1.0,0.0,Neutral
2865,@LisamarineSas @penny_lane_bbm https://t.co/IVQGLRSRQR,0.0,0.0,1.0,0.0,Neutral
2866,@Penny_lane_bbm @_sharktrader @robintheblack i've been saying for days abbv has been a money printer both ways.Let's go!,0.0,0.0,1.0,0.0,Neutral
2867,@Santi_abascal Pasa El Bbm Guapo,0.0,0.0,1.0,0.0,Neutral
2868,@Shameonyouppl Bbm Sara,0.0,0.0,1.0,0.0,Neutral
2869,@Analynmuko flop era is coming 😓😓😓 ai ai who seems to replace you by madam imee and ser bbm ❤💚❤💚 https://t.co/hj7bp5lwkx,0.0,0.107,0.893,-0.34,Negative
2870,@Penny_lane_bbm @_sharktrader @robintheblack nice job !!!Awesome !!!,0.617,0.0,0.383,0.8429,Positive
2871,Me and my Kapampink sister joked about leaving the house and the country if Marcos wins and our BBM supporter mom asked us if she'll be the one to leave if Leni wins 😭😭,0.281,0.029,0.69,0.891,Positive
2872,"#Discount 10% |
Rp.265.000 -& gt;Rp.238.500 |
Haida top light gray |
WA: 087821272320 |BBM: D2004C86 |
https://t.co/Kler6Ptybc",0.122,0.0,0.878,0.2023,Positive
2873,@Galitianslove what's not in the truth?BBM's tax evader?Na drop out sya?That is the robe and jobless?Btch please,0.16,0.103,0.737,0.2869,Positive
2874,I enjoy my friends on FB.They are about to go when their BBM supporters are oppressed.❤️💚,0.434,0.0,0.566,0.8481,Positive
2875,"@Penny_lane_bbm not trading, have better things to do https://t.co/dzwygjo05t",0.0,0.231,0.769,-0.3412,Negative
2876,"Bsh Pelangsing Original, Body Slim Herbal, Cara Efetif Menurunkan Berat Badan, Bbm/SMS 277F90A9 - 089607186713 https://t.co/j0phodpslk",0.141,0.0,0.859,0.3182,Positive
2877,"I wish #Lenlen had been blamed for #BBM's camp that was spreading Aika's (fake) sex video.
Holy-is!",0.134,0.169,0.697,-0.1759,Negative
2878,"@Galitianslove BBM Batugan, no work without winning the election.Literally doing business being a politician + tax evader + pork barrel scam + elitista + school drop out.You know that to yourself, you won't vote for Bong Bong if not Marcos becomes the surname https://t.co/p7z0K3Jo0y",0.0,0.235,0.765,-0.8682,Negative
2879,@bleedbughaw @macopez769 you are worse.Media is still in the 2019 non existing video of his son to use as black propaganda and blame BBM.Who has a heart and soul?What is the next gimmick?,0.0,0.137,0.863,-0.5803,Negative
2880,Check out IntrovertedMom's video!#Tics,0.0,0.0,1.0,0.0,Neutral
2881,"Bbm Sara 2022
#ProtectBBMSaravotes",0.0,0.0,1.0,0.0,Neutral
2882,@phoebes018 @jamiestheweeirdo @dianesarah you mean your choice of a leader to vote is influenced by the kind of supporters she has not because of the qualities and competencies he/she possess?You'd rather choose Bbm despite being surrounded by plunderers and thieves?,0.06,0.085,0.855,-0.2624,Negative
2883,"@Stark0315 @luminustrix @leodymaging @waldenbello You are the one who responds, you have nothing to lose.You are probably one of those who can vote for BBM.You are the real scourge.LOL !!!",0.0,0.0,1.0,0.0,Neutral
2884,@rinidyah6 @akunkelima212 tapi lebih eSimewa always hadiahnya kalau harg bbm yg di turunkan🙏😃,0.0,0.0,1.0,0.0,Neutral
2885,@Penny_lane_bbm looking at swinging $ phun and $ rad calls,0.0,0.0,1.0,0.0,Neutral
2886,"@coolest_mosaic shouldn't that question be towards you though?What makes you think BBM can lead a country.His father hijacked power of the country, that's not leadership.BBM doesn't even have a degree and he had the means to just lazy.He even evaded his taxes.",0.0,0.0,1.0,0.0,Neutral
2887,"@Galitianslove Answer Answer 🚀🚀🚀 Because you admit that BBM has no achievements as well as being loved by people hahahhaa here ride the plane economy because ""embarrassing"" blind blind you are just used.MUCH MUCH MORE",0.176,0.171,0.653,0.0516,Positive
2888,Wie süß das farid sich für patrick bang so interessant 😂,0.0,0.0,1.0,0.0,Neutral
2889,"@Glenninvestor @penny_lane_bbm sorry you missed the bump.Been watching this since conception.If this run looses its legs, look for 15.30 for jumping in.If it runs, I am clueless but will try to trim and trade and keep some long.GL",0.0,0.149,0.851,-0.4215,Negative
2890,@Penny_lane_bbm but you avoided the chop 👏🏽,0.0,0.341,0.659,-0.4767,Negative
2891,"لدي عادة م sugar
الأحلام ، الأمني been ، الخواطر التي تمرني

أنساها ولا ينساها الله ، الشي الذي بين mnhttps://t.co/2NBGVVY16L",0.0,0.0,1.0,0.0,Neutral
2892,@bagbongmarcos we are solid BBM hahah https://t.co/maahpgwm39,0.211,0.0,0.789,0.1531,Positive
2893,"Tahukah kamu kenapa minyak goreng, bbm, ppn dan yang lain nya naikay harga nya?

Jawabannya, karena keununungan dari selisih kenaikan harg until bayar loan negara ...

Gak percaya, tanya aja mukidi !!

😄😄",0.0,0.0,1.0,0.0,Neutral
2894,@Cillitbang_bbm der arme man,0.0,0.0,1.0,0.0,Neutral
2895,وoop:::,0.0,0.0,1.0,0.0,Neutral
2896,BBM❤️❤️ cute https://t.co/GyHzyrB2DB,0.6,0.0,0.4,0.4588,Positive
2897,@Galitianslove sad no?BBM supporters know that BBM is a tax evader and dropped and dropped out of school but he still voted.Eh in his life his achievement is just his fastest sperm cell by ferdinand marcos 🤭,0.053,0.055,0.892,-0.0258,Neutral
2898,"BBM Reggae Stakeholder Zoom Meeting Tue May 10, 6-8PM
Calling all reggae stakeholders: artists, producers, promoters, DJs, journalists, bloggers, academics & amp;fans
https://t.co/Qobnveotzk

International Reggae Day UK Friday July 1
Regional Focus #Bristol #Southampton",0.0,0.0,1.0,0.0,Neutral
2899,@amelie000000 @kimxuis26 is wehhhh?Eh kathniel eh.DJ's just the BBM supporter.🤢,0.0,0.0,1.0,0.0,Neutral
2900,"@ABSCBNNews @inareformina How many thousands attended, if you say I immediately have a few thousands here with them BBM and Sara, nothing.",0.0,0.0,1.0,0.0,Neutral
2901,"Mau langing?ya gak usah diet, minum dtozym langingnya dpt ususnya sehat..order bbm 5e1ab6c7 wa 082337878601 https://t.co/tuzwj5mxh3",0.0,0.0,1.0,0.0,Neutral
2902,"Turun Bb 4KG (New Testi) Dengan Minum Juice WMP Saja, Cara Langsing Sehat Tanpa Ribet.Order SMS 081286985708 BBM 2A0D3361 https://t.co/bxhrmtqhbv",0.0,0.0,1.0,0.0,Neutral
2903,BBM's only nuisance candidate is Isko.Covid Season is just a clown as well as his 2jongs 🤡,0.13,0.0,0.87,0.2732,Positive
2904,Cantik siii tp rawat juga sis organ intimnyaaa pake nesv ya info order & gt; & gt;BBM: D4B16120 WA/LINE: 085224858550 https://t.co/LQFHPXPXTE,0.104,0.0,0.896,0.2732,Positive
2905,"@Mrayudaaa good with different dn, solid bbm.",0.474,0.0,0.526,0.5423,Positive
2906,BBM and others according to Ted Failon https://t.co/ZFM7RBA1jt via @youtube,0.0,0.0,1.0,0.0,Neutral
2907,kurus kerempeng? ga nafsu makan? makan tapi ga gemuk2?Minum Mad Mr Pro Aja Di Jamin Mantap More Info BBM 5F1c0ca0 WA 083827582420 https://t.co/acebc9suii,0.0,0.145,0.855,-0.5775,Negative
2908,Wie sich kolle und,0.0,0.0,1.0,0.0,Neutral
2909,"@RusselTimothy exactly BCOZ BBM supporters and ur idol are selfish.Hope you also put on what his issues like the 203b, Pagna2kaw, and Poor Class Ilocos til now several decades, u should be transparent man, you have a trademark of liar you know that!",0.11,0.136,0.754,-0.3164,Negative
2910,"@peej_077 @iskomoreno when you tell your fellow supporters of Leni who don't have a superiority complex.In the worst and bully if Isko beat me I would rather win BBM than Leni.After all, the town is going to be together in hell",0.125,0.26,0.615,-0.804,Negative
2911,Menteri Energi Dan SUMBER MINERAL (ESDM) Arifin Tasrif Mengingatkan Adanya Ancaman Penjara Dan Denda Bagi Pelaku Penyalaan Bahay Barangay Minyak (BBM) Subsidi.https://t.co/96VZ3APFCW,0.0,0.0,1.0,0.0,Neutral
2912,"@nielbhernandez @djmark53570839 @JudeMangilog If you think so, I ask you, what did BBM do without mentioning his dad?He'll run.Haha",0.0,0.0,1.0,0.0,Neutral
2913,"Diko magets why is BBM always asked?I never asked why Leni?Isko?Ping?Manny?

If you really are someone who does their homework before voting, watch it all and read, you will search why BBM is the karahiman despite the ruins",0.083,0.0,0.917,0.5213,Positive
2914,PUSAT GROSIR PARFUM ORIGINAL DI JAKARTA https://t.co/SUGVEMYJDS |WA/TG/SMS 0856.300.2078 |BBM: D3710E33 #JUALPARFUM,0.216,0.0,0.784,0.4648,Positive
2915,"My other neither (girl & amp; boy), they are not vocal online.But when I watched them at the house, they were asking me why people are supporting BBM.They are 15 & amp;11 yo… they learned at school about marcos & amp;Martial Law…",0.073,0.0,0.927,0.4404,Positive
2916,@Penny_lane_bbm @groupsepia @robintheblack there's a reason why 😉,0.0,0.0,1.0,0.0,Neutral
2917,"@bagbongmarcos
@smninews
@indaysara
@Paulsoriano1017
@imthinkingpinoy
#ATTENTION !!!!!It's been a ballot !!!Why BBM doesn't have a name on the ballot !!!",0.0,0.0,1.0,0.0,Neutral
2918,"@skie_lovely @davaosenyorito main platform dw nila, bbm 😂🤭",0.0,0.0,1.0,0.0,Neutral
2919,Supplier BBM Solar Non Subsidi Resmi Pertamina Kingi 0813-9396-1068 |0812-2000-7959 https://t.co/L6MQJCZOCO,0.0,0.0,1.0,0.0,Neutral
2920,"Interesting how BBM supporters loved Catriona when she was Miss Universe up to the time she dropped the video of her bet for presidency but the minute she stated her support for VP Leni, they all turned and attacked her",0.2,0.108,0.692,0.5423,Positive
2921,@BbMaharlika Bbm/Sarah 👍👏💪👊,0.0,0.0,1.0,0.0,Neutral
2922,Sadly Kabirthday of my BBM daddy's aunt Leni 😩,0.0,0.286,0.714,-0.4215,Negative
2923,OPEN BO SAJA NEGO BBM MORE MASA KNOW https://t.co/FFCH4KCFGE,0.0,0.0,1.0,0.0,Neutral
2924,"@PSBILLINGS @penny_lane_bbm The 5 is fine if you're well in the money, but I'd go crazy using it exclusively.

Do note, I speak as someone who also uses the 15 second chart, so ... maybe I'm already crazy.",0.072,0.151,0.778,-0.6428,Negative
2925,"@Penny_lane_bbm green is green, congrats",0.459,0.0,0.541,0.5267,Positive
2926,@Penny_lane_bbm 1% up on the account today.I was up 2% but over traded and gave half back.I should have walked away.I was up big on the opening push.,0.0,0.0,1.0,0.0,Neutral
2927,"☁️ YAUDAA KALO NGGA BOLEH SERTIFICIAL TANAH, PIN BBM KA AJA BOLH NGGA ??-Rel",0.0,0.0,1.0,0.0,Neutral
2928,@MARIPOS19656429 You are in the BBM's inheritance 😘🥰,0.0,0.0,1.0,0.0,Neutral
2929,"#Discount 10% |
Rp.210.000 --- & gt;Rp.189.000 |
Minnie Kimono Olive |
WA: 087821272320 |BBM: D2004C86 |
https://t.co/RYVM0P18D9",0.0,0.0,1.0,0.0,Neutral
2930,BOYFRIEND BBM SUPPORTERS FOR LENI,0.42,0.0,0.58,0.4404,Positive
2931,@Penny_lane_bbm made half my goal.But I observed my stop losses which has been one of my big issues.So I will take it.,0.0,0.214,0.786,-0.5994,Negative
2932,"@Pinoyakoblog grabe.Too much to cry.Andrew e just playing the mall walk, are you rude?BBM, you were thrown by the flyers and shouted at the thief, says freedom of speech.How about playing ""Find out ugly"", you are already.",0.181,0.079,0.741,0.5267,Positive
2933,@maynila_batan ok that Sara becomes president in 2028 but it may happen that Imee Marcos will probably push solid loyalists especially if BBM is in office.That uniteam will also be broken.That's real talk.,0.17,0.0,0.83,0.631,Positive
2934,The cringe is that Toni says it is OA.What is the Malacañang lost prince BBM?,0.0,0.141,0.859,-0.3182,Negative
2935,@Andresrizal68 here.Manuary ka.Opposite of your candidate BBM.Na panetflix Netflix only.Watching Marvel movies.https://t.co/pr1h9mksgv,0.203,0.0,0.797,0.4215,Positive
2936,"@Tinayimnida_ Rice Production is one of the solutions to reduce inflation, find out first BBM's plans for the Sasaka, here are the receipts https://t.co/Yld7TJ7MMB",0.069,0.0,0.931,0.1779,Positive
2937,@Andresrizal68 excuse me ???Greed by VP Leni?Where are you?BBM has not returned 40% of the stolen wealth.He never came out and helped like 3 or 4 years ago to the poor.BP Leni has Angat Life program like 5 years already.Do your research,0.154,0.125,0.721,-0.3736,Negative
2938,@Mrcxism he is God bless bbm and the whole uniteam ❤️💚🇵🇭,0.353,0.0,0.647,0.5994,Positive
