,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
3118,@Bobreye68206730 @abscbnnews @lenirobredo @jervismanahan neglected children thats dumb and stupid ... robredo sisters went to ivy league school in the US ... typical bbm loyalist dumb comment 😂😂😂😂,0.064,0.344,0.591,-0.8979,Negative
3119,@blademir_y @Brymac9168 @lenirobredo hahaha woooohhh but what are you doing?Ayyyy the girl,0.173,0.0,0.827,0.3182,Positive
3120,@iskolarium @lenirobredo @kikopangilinan happy birthday.☺️🌷🥃🥃,0.481,0.0,0.519,0.5719,Positive
3121,@Villarosamelisa @mj__mondejar @bongmarcos @lenirobredo @smninews @dzar1026 camp you first released Vinny's scandal with a scandal,0.0,0.326,0.674,-0.7003,Negative
3122,"@ibanaginthecity @raffymagno @lawyersforleni @cheldiokno @lenirobredo I know the barzagas are supporting Leni, I think it's just fair to call Kiko out for spreading lies about VP Leni.He didn't stop after being called out by people.This is not the behavior we want in society.",0.178,0.059,0.763,0.5556,Positive
3123,@rapplerdotcom hahahahaahah.@lenirobredo is still hoping.You're really mad.BBM does not need to campaign and there is no need to ruin it because your fans will ruin you.Just look out the UP incident.Hahahha.Brain use.Don't make a story to talk,0.0,0.229,0.771,-0.8689,Negative
3124,@gmanews @lenirobredo @bongbongmarcos @Aikarobredo they first spread that Vinny Marcos has a finished now when he retaliates with his son Aikadiri too pavictim ?????Reverse Card Feelsssssss 😂😂😂,0.0,0.0,1.0,0.0,Neutral
3125,@justiceleaguex @abscbnnews @lenirobredo @jervismanahan Nothing will be destroyed in Stupid BBM,0.175,0.226,0.599,-0.1955,Negative
3126,@edupunay @PhilipPtestar why do I respect that Leni Robredo?VP HELLO.,0.279,0.0,0.721,0.4767,Positive
3127,@Skywayfriends @gmanews @lenirobredo @bagbongmarcos @Aikarobredo and you know it's not right to put it right 2x when your basis is from the past that he has never proven.,0.0,0.0,1.0,0.0,Neutral
3128,@Furrydairy @hnrlmascardo @dodzacct2876 @lenirobredo I laughed here.,0.375,0.0,0.625,0.4588,Positive
3129,@Judbmf12 @mj__mondejar @bagbongmarcos @lenirobredo @smninews @dzar1026 you have breakfast Mona of stupidity today 😋,0.0,0.195,0.805,-0.4404,Negative
3130,@lenirobredo good morning po vp leni!Can i do video greetings 4 my mo?No.1 Volunteer nyo po sa SIATON NEGOR & amp;ung house we have made hq & amp; everyday sya h2h!I know a video greeting coming fr u will really make her bday memorable !!Her name is Lelen!She is 63! Ty!,0.207,0.124,0.669,0.5951,Positive
3131,@ABSCBNNews @LenirObredo @jervismanahan Display evidence Mr. @barrygutierrez3 If you have no evidence you will come out of shame @imthinkingpinoy @jerrygracio @ianesguerra @abscbnnews @gmanews @inquirerdotnet nnphilippines @PTVPH,0.0,0.181,0.819,-0.6486,Negative
3132,"@inquiredotnet if you can do proof.Lawyer kyo mdm @lenirobredo sn approached the nbi pra mhuli yung make.If they were to be charged immediately.Take a look.It is hard to prove.

s kin lng, last 2 mins n lng.they are only 30+ pts.bkit p ggawa of “foul”?

Politics s Pinas 🤦🏻‍♂️ #SusMaryoseP",0.0,0.071,0.929,-0.296,Negative
3133,@lenirobredo bawal po yan.Do not use the position to advance the candidacy.You're so hypocrita,0.0,0.217,0.783,-0.5574,Negative
3134,@jenofitz @lenirobredo please they need help :(,0.42,0.244,0.336,0.2732,Positive
3135,"@lenirobredo mam VP, hopefully the stary dogs and cat can help too.🥺🥺🥺",0.351,0.0,0.649,0.6597,Positive
3136,"@Skywayfriends @gmanews @lenirobredo @bagbongmarcos @Aikarobredo what my point is Mom, he and he taught him, that his basis is because in 2016 BBM was doing the same for him.What is his proof of his accsations?I thought the lawyers would take action.He knows he can do the same for what he said.",0.0,0.0,1.0,0.0,Neutral
3137,@Abscbnnews @lenirobredo @jervismanahan i read that the @dojph & amp;@Nbiph are on the case now ...,0.0,0.0,1.0,0.0,Neutral
3138,@isabelmerana @olangcake @Brymac9168 @tiger_eagle__ @lenirobredo blind follower spotted!Can’t discern the truth from lies.Wake up!,0.131,0.187,0.682,-0.2462,Negative
3139,@annecurtissmith @lenirobredo thank you !!!💕💕💕💕,0.458,0.0,0.542,0.5229,Positive
3140,"@Abscbnnews @lenirobredo @jervismanahan who knows if you believe it.Well, good girl with bad habits.You know that the mother is busy with her VP and her children are neglected.If the video does not come to an end, why do I need to delete it so we can judge that fake.I smell fishy here.",0.052,0.063,0.884,-0.1531,Negative
3141,"Why is Leni Robredo like that?Like not an attorney?Accusing someone without providing an evidence.It is even better to have your grammar wrong even if you are a lawyer than the fact that you cannot provide evidence.What happened to PA— ""Innocent until proven guilty.""Niyo?",0.169,0.063,0.769,0.6416,Positive
3142,"@Abscbnnews @lenirobredo @jervismanahan fake scandal of the pint just to destroy Babym.The people already know the truth, and the real scandal that Leni's mother's unity dream is that Sen Ping Lacson is joking ..",0.136,0.272,0.592,-0.802,Negative
3143,"@Abscbnnews @lenirobredo @jervismanahan who knows if you believe it.Well, good girl with bad habits.You know that the mother is busy with her VP and her children are neglected.If the video does not come to an end, why do I need to delete it so we can judge that fake.I smell fishy here.",0.052,0.063,0.884,-0.1531,Negative
3144,@Mj__mondejar @bagbongmarcos @lenirobredo @smninews @dzar1026 they will fall into the pit they hv dug.They will reap what they hv sown swiftly.,0.099,0.0,0.901,0.296,Positive
3145,@Brymac9168 @lenirobredo 👏👏👏,0.0,0.0,1.0,0.0,Neutral
3146,"@Mikaailema @user_ela @jendeukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuVote to his son so we can expect evil d30, because he hates the Ilonggo Home Town",0.0,0.3,0.7,-0.8074,Negative
3147,"@Crifticaa @annecurtissmith @lenirobredo lol they are scared, they have a lot of money if they want.Where is your ""RESPECT MY OPINION""?Lmao",0.25,0.109,0.641,0.5766,Positive
3148,READ: Vice President Leni Robredo's spokesperson Barry Gutierrez response to Bongbong Marcos Camp's accusation that they are “deceiving” the public.https://t.co/YPTKX3F4OV,0.0,0.095,0.905,-0.25,Negative
3149,"@Abscbnnews @lenirobredo @jervismanahan fix her first granmar, like not a lawyer!Bwahhaahahhahawhwhwhwh",0.237,0.0,0.763,0.4199,Positive
3150,@Realorigenes @lenirobredo is not needed but is dating to house 👄,0.0,0.0,1.0,0.0,Neutral
3151,They couldn't help but be Leni Robredo's VP.,0.0,0.189,0.811,-0.1603,Negative
3152,"Piolo Pascual was good and vocal in his support for VP Leni Robredo.
https://t.co/Dumsgsvbde
#NewskoshowBiz
@piolopascual_ph",0.286,0.0,0.714,0.6808,Positive
3153,"Camp of Presidential Candidate Vice Pres.Leni Robredo has fake news and destruction against her daughter Aika Robredo.This is after the malicious links associated with the son of the vice spread.#AsPilipino2022

https://t.co/BNIMK60K3O https://t.co/Y7EOKDDXPH",0.0,0.185,0.815,-0.7783,Negative
3154,"What a shame Mr Rodriguez (I will give you a dose of your own med.) Not to address our rightfully elected VP, her excellency VP Leni Robredo! 👹👹 https://t.co/6frh91lcje",0.119,0.097,0.784,0.1759,Positive
3155,@lenirobredo @jervismanahan Read: Marcos' Spokesperson told Robredo's Camp to 'Stop their Deception from their propaganda of lies and FALSEHOODS'.|via @jervismanahan #Election2022 https://t.co/QJALCXSFMN,0.0,0.355,0.645,-0.836,Negative
3156,"@Abscbnnews @lenirobredo @jervismanahan admit that Robredo, you know.😂😭 https://t.co/QJBZWUBJZN",0.184,0.0,0.816,0.2023,Positive
3157,"@Nagsakaka @Brymac9168 @loidasandiego77 @lenirobredo 😂😂😂😂
Next up,
Leni Tikak😜😜😜",0.0,0.0,1.0,0.0,Neutral
3158,@nddianalan143 @mj__mondejar @bagbongmarcos @lenirobredo @smninews @dzar1026 naive or just plain ignorant?,0.0,0.318,0.682,-0.4939,Negative
3159,"TV host and actress Anne Curtis (@annecurtissmith) have already admitted that she will support Vice President Leni Robredo (@lenirobredo) in her candidacy for presidential in the 2022 national elections.
Read: https://t.co/jz4yrymzyn
#KATRIVOTE2022
#Pulsongbayan
#Dailytribune",0.114,0.0,0.886,0.4767,Positive
3160,"@karensshih @ogiediaz @lenirobredo wag!Maybe Lenlen's camp will destroy you, as well as the Rappler and ABSCBN to sing!nyehehehe",0.095,0.184,0.721,-0.4559,Negative
3161,"TV host and actress Anne Curtis (@annecurtissmith) have already admitted that she will support Vice President Leni Robredo (@lenirobredo) in her candidacy for presidential in the 2022 national elections.
Read: https://t.co/2uzkc6qykn
#KATRIVOTE2022
#Pulsongbayan
#Dailytribune",0.114,0.0,0.886,0.4767,Positive
3162,"@gmanews @jaicabajar @lenirobredo @bagbongmarcos @Aikarobredo Man, as well as ride your mom's hostess.This is why your candidate will never win, unless he will be able to read during the election and then he will win again!Parang magic!",0.049,0.157,0.794,-0.6836,Negative
3163,@LugawNallaya @lenirobredo korek ..,0.0,0.0,1.0,0.0,Neutral
3164,Answer Madam Leni Robredo ung accusation to you by Sen Lacson!Don't deviate !!!!,0.0,0.209,0.791,-0.4885,Negative
3165,"What a shame, Mr.Rodriguez (I will give you a dose of your own med.) Not to address our rightfully elected VP, her excellency VP Leni Robredo!https://t.co/921zcmStj4",0.131,0.107,0.761,0.1759,Positive
3166,"@barbierake1 @tribunephl @bongbongmarcos @lenirobredo di kc the house to house campaign has been successful, need kc don to be kind and to make fun of them so they can't do that dhil maldita and elitists supposedly cla!The next agenda is made of the story and is accused of BBM supporters before the people are sorry and CLA!Desperate! 🤣 https://t.co/YYQTRRE8D6",0.205,0.05,0.745,0.9149,Positive
3167,"@Biztro_ @_13tin @nirvanarakista @mj__mondejar @bangbongmarcos @lenirobredo @smninews @dzar1026 just ask.Is Jam Magno a BBM ??Why did you think that right away?If we follow your narrative, Raissa is not Leni.",0.0,0.0,1.0,0.0,Neutral
3168,@Daddysgirlph @Aikarobredo @lenirobredo yuj beubs daw but not at all.🤭,0.0,0.0,1.0,0.0,Neutral
3169,"@meowmew75818591 @fuchsia_99 @gmanews @lenirobredo @bagbongmarcos @Aikarobredo I blame socmed.That he said?Reporter, this is a big issue that is really going to announce that.",0.0,0.107,0.893,-0.34,Negative
3170,@Mj__mondejar @bagbongmarcos @lenirobredo @smninews @dzar1026 so you can release your Len Len series that is too obvious that negative campaigning.Trolls pa more.That's why Marcos doesn't talk to you there.Cowboy in debate as well as interviews.,0.054,0.095,0.851,-0.3818,Negative
3171,@lenirobredo https://t.co/hulbdzhjjh,0.0,0.0,1.0,0.0,Neutral
3172,"@rollbacco @lenirobredo @teamlenirobredo @lawyersforleni @dapinsilleni @lenikikobsk @lenitracker @nueelleduterte @ianangalliguez @spacers4leni @pep4leni pads, na miss ko also sandale moments mo eh!Your clarity explains!Bow!",0.142,0.064,0.794,0.4545,Positive
3173,"@LeodymAppout @Aikarobredo Thank you, Ka Leody.Whether @Lenirobredo is my candidate, I pray that you will be given a position in the government and be a partner in the change we all hope for.",0.222,0.0,0.778,0.7717,Positive
3174,@Moniqu3n @lenirobredo 😂😂😂😂,0.0,0.0,1.0,0.0,Neutral
3175,@Darkhalcyon101 @TR4MY4N @QueennnNnthings @gmanews @lenirobredo @bangbongmarcos @Aikarobredo https://t.co/xav421ufoq,0.0,0.0,1.0,0.0,Neutral
3176,"I saw this Tiktok video, he's discussing about what should be our basis on who to vote and I think right, very objective of his explanation!We will win you Ma'am @lenirobredo
https://t.co/strllncllqz",0.124,0.0,0.876,0.6239,Positive
3177,"@darkhalcyon101 @tr4MSY4n @QueennnNthings @gmanews @lenirobredo @bagbongmarcos @Aikarobredo I brought this up because you claimed Marcos didn't have 'issues' that other camps can use against him.Even without an FB account, you can still view the link I posted.The 'issues' you will find are up in the sc already",0.0,0.0,1.0,0.0,Neutral
3178,@hrnxtoria @gmanews @lenirobredo @bagbongmarcos @Aikarobredo *Teaching,0.0,0.0,1.0,0.0,Neutral
3179,"READ: Vice President @lenirobredo Camp's statement on Marcos' alleged malicious attacks against Aika Robredo.

""During the positive campaigning, they have long been shown that they are not there.""|via @jervismanahan #Election2022 https://t.co/HCiy77J6YK",0.101,0.082,0.817,0.1779,Positive
3180,"If not ... Think carefully about your chosen candidate.
#LenirObredo #bagbongMarcos #iskomoreno #mannyPaquiao #KaleodyDeguzman #Election2022 #Elections2022 https://t.co/No4DSTD7IJ",0.0,0.079,0.921,-0.0951,Negative
3181,@blademir_y @Brymac9168 @LenirObredo Hindi kc logical pa n gwin yan bbm camp kc big gap s survey and some days n lng .. ky who can believe n ggwin p they like that?Its a desperate move of the campaign they say s € x sells and they prefer gnyan ..,0.057,0.053,0.89,0.0516,Positive
3182,@Greatnach @lenirobredo @kikopangilinan thank you for your standing,0.263,0.0,0.737,0.3612,Positive
3183,@steelbutterffly @blademir_y @Brymac9168 @LenirObredo suddenly the script is a script because what is your face?After you spread the fake sex video to destroy the child you have #protectaics because you saw the backlas.No one will believe your denial script because you have been doing that for 6 years.,0.0,0.13,0.87,-0.765,Negative
3184,"@hrnxtoria @gmanews @lenirobredo @bagbongmarcos @Aikarobredo Jusko Mom/Dad, I opened it.Maybe, you didn't get my point either.When he taught me the point, my point is that his basis is because it seems that in 2016 that is what BBM is doing to him.Does he have proof of everything he says?You look like a fool.",0.046,0.053,0.901,-0.1027,Negative
3185,"We're not like that, madumb.Lab u still @lenirobredo ❤️🇵🇭💚",0.0,0.232,0.768,-0.2755,Negative
3186,@Dodzacct2876 @LenirObredo Hope to be charged with libel if proven not true.It's all,0.185,0.115,0.701,0.2732,Positive
3187,@jetloggins @QueennNnthings @gmanews @lenirobredo @bagbongmarcos @Aikarobredo yan the hard work in this.You formalize such behavior.The issue here is still from the scandal slash fake news.Do you need to do that just to get up ??Let's go back .. Maybe if we did that to this IPoint Out of that too,0.0,0.177,0.823,-0.8343,Negative
3188,"@Talazaldivar @raissawriter @bamaquino @lenirobredo because there really is no sex video!
If I had one of the first to watch it!
Share ko pa!🤣
Eh there really is no and it is just a stupid and stupid Liberal Party Party ... eh no ... 😂 https://t.co/plbrmm4p8l",0.132,0.262,0.606,-0.8182,Negative
3189,"@Yesyesyo13 when @lenirobredo got this low, damning her own daughter for political gain is the cruelst thing a mother could do to her daughter!

She has not investigated and concluded before opening her mouth!

An impulsive president-to-be, Guerra immediately!

Nadir of her political life!",0.069,0.12,0.811,-0.3701,Negative
3190,@fluffysasha @gmanews @lenirobredo @bagbongmarcos @Aikarobredo no to Lutang and to NPA hahaha Talo na you don't even make an issue hahaha,0.263,0.08,0.657,0.7184,Positive
3191,@lenirobredo that's my president 🥰,0.0,0.0,1.0,0.0,Neutral
3192,@Judbmf12 @mj__mondejar @bongMarcos @lenirobredo @smninews @dzar1026 😂😂😂 The fact that you have no proweba camp is BBM's lake that is spreading the issuepresident or vice they are running 😒😒😒,0.0,0.073,0.927,-0.296,Negative
3193,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 will Leni drop Kiko e himself and fight?Many others have suggested that he do his VP, but he didn't accept it all!He first believed and trusted and saw Kiko's potential, but would he drop him?You are weeds.",0.074,0.137,0.789,-0.3565,Negative
3194,"@agot_isidro good morning too, @agot_isidro thank you for your warm and selfless volunteerism .... we hope that our journey to a better phils.starts on the 30th of June to be led by 17th Pres.- Leni Robredo.
Keep safe and fight on !!!",0.316,0.049,0.636,0.9228,Positive
3195,@Jpnorman04 @dtnalakridersr @Aikarobredo @lenirobredo true specially the first tweet nun eh with Leni's PR. Didn't he also post Leni's Haduken vid so he must work as her pr,0.094,0.0,0.906,0.4215,Positive
3196,@Snaildonut @miriamgracego @Aikarobredo @GlendamGloria @rappplerdotcom Baket Do you put it .. Leni Robredo Vice President of the Philippines ..,0.0,0.0,1.0,0.0,Neutral
3197,"Robredo's Camp Spreads lies cause of their desperation to defeat Marcos Jr.

As we all know, the main goal of Leni Robredo running for presidency is for her to beat Marcos and nothing else than that.

""Aika"" S3X tape scandal is pure probaganda as no one really knew about it.",0.0,0.236,0.764,-0.9169,Negative
3198,"Does your candidate for #presidency have this ??

#LenirObredo #bagbongMarcos #iskomoreno #mannyPaquiao
#Election2022 #Elections2022 https://t.co/U5F81j8QVV",0.0,0.0,1.0,0.0,Neutral
3199,@jenvortiz1 @lenirobredo kagigak talaga!Hahaha he is so desperate,0.0,0.319,0.681,-0.5079,Negative
3200,"Do you also get sms like this?So this Kapampink Wednesday, I'll just campaign for @lenirobredo (I made sure I didn't click any links from them) a lot of scammies!#10ROBREDOFIPPRESIDENT #LENIKIKOLTHEWAY https://t.co/ztgxwgeeeg",0.159,0.0,0.841,0.6239,Positive
3201,"@darkhalcyon101 @tr4MSY4n @Queennnnthings @gmanews @lenirobredo @bagbongmarcos @Aikarobredo since you're the one claiming it was Leni's camp who 'invented' issues against her daughter, the burden of proof is yours.",0.0,0.097,0.903,-0.4404,Negative
3202,@annecurtissmith @lenirobredo red The real color of pink Miss Anne…,0.0,0.151,0.849,-0.1531,Negative
3203,@Manny78027601 @graceeverlast @yeppeun_eonni13 @LenirObredo Mom Lenlen has just been ruined by Bongbong and never reacted to BBM now that Lenlen is just so much,0.0,0.119,0.881,-0.4767,Negative
3204,@Indaysabungera @lenirobredo so the trust rating is down.,0.338,0.0,0.662,0.5542,Positive
3205,"@meowmew75818591 @villanelle_xiao @anticorrupt2022 @jedqcepe @jaytwotheworld @barrygutierrez3 @bamaquino @lenirobredo yes, violation of election laws",0.16,0.189,0.651,-0.128,Negative
3206,"@ABSCBNNews #WithAllDueSpect, it's symptomatic of who @lenirobredo is thinking about, talking to, and actually connecting with.",0.0,0.0,1.0,0.0,Neutral
3207,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 farmers for him, is he still going to drop leni camp?
Stop your deceit and lie, please, especially you look like you are not deserving of any position!",0.106,0.159,0.734,-0.3671,Negative
3208,"@annecurtissmith @lenirobredo glad I supported the right person since 2011 🌸🎀

#LuvanNeleni",0.371,0.0,0.629,0.6486,Positive
3209,@tribunephl @cj3698 @bagbongmarcos @lenirobredo alsm ng kapampinks that they just have sex video to earn sympathy but so c gurl says move on na daw kccd true.Ctto https://t.co/strnruij8t,0.063,0.0,0.937,0.1901,Positive
3210,"@Graceeverlast @lenirobredo @Sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 where so many people have seen how since he is a human and you are humble and you are concerned and concernedHis own father to them and honoring them, after the audience saw his heart for the marginalized, and the love of",0.128,0.0,0.872,0.8176,Positive
3211,@jlsptl @Lenirobredo There is a team again Tayung,0.0,0.0,1.0,0.0,Neutral
3212,Same Vibe with J4M Magnoknow Hating Leni Robredo,0.0,0.32,0.68,-0.5106,Negative
3213,"@lenirobredo #catanduanespink
Maam Leni I haven't voted yet, but you are my President
#GraduateThe Penista",0.0,0.0,1.0,0.0,Neutral
3214,@Ceetanas the obob also eh posted sex video allegedly 2015 2019 2020 reposted.Check ur facts first @lenirobredo looks abobogada eh.Is the vote more important than your family's dignity,0.156,0.0,0.844,0.5849,Positive
3215,@Brymac9168 @engrme8 @LenirObredo before the media ...,0.0,0.0,1.0,0.0,Neutral
3216,"@GraceEverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 and even anyone I know before saying that Leni is just going to fight with Sotto to get more votes,She is also Kiko, and she is convinced that Kiko is winnable after all!After that happened with the rise of the San Simon Farmers in his hands,",0.093,0.042,0.865,0.4926,Positive
3217,@potato___tatato @jetloggins @queennnnthings @gmanews @lenirobredo @bangbongmarcos @Aikarobredo I don't even have a mining survey firm ah.In credible surveys during elections clearly who frontrunner today,0.114,0.0,0.886,0.4019,Positive
3218,@lenirobredo thank you so much madam VP!,0.318,0.0,0.682,0.4199,Positive
3219,"Hello everyone!My Bestie made amazing Leni Robredo Art that you can download and use for free!💖 Print them on shirts, use them as wallpapers, or have them made as stickers - grab away, Kamampinks!🌸

You can find the highres images here: https://t.co/kjasff8jjj1 https://t.co/G5RF1DDQI9",0.102,0.0,0.898,0.6884,Positive
3220,"@chaarrmaineg @EternityForyae @mj__mondejar @bagbongmarcos @lenirobredo @smninews @dzar1026 still, he is the president.Logic you stupid.",0.0,0.207,0.793,-0.5267,Negative
3221,@jlsptl @lenirobredo taena nakakakilig😀🌷,0.0,0.0,1.0,0.0,Neutral
3222,@lenirobredo good morning mama leni.I love you.Hope you read it.Always be careful.,0.492,0.0,0.508,0.8271,Positive
3223,@Ahon_pilipinas @gmanews @lenirobredo @bagbongmarcos @Aikarobredo Tama so they are spreading the scandal of the issue of Ping ih,0.0,0.146,0.854,-0.4404,Negative
3224,@Queennnntings @potato___tatato @jetloggins @gmanews @lenirobredo @bagbongmarcos @Aikarobredo ewan ko go shopping for the pursuers,0.0,0.0,1.0,0.0,Neutral
3225,@lenirobredo ma'am I also need your goodluck in my admission exam.HAHAHAHAHAH CHARIZZZ,0.0,0.0,1.0,0.0,Neutral
3226,@Thejeffcifra @lenirobredo hahah like me just tweeting vp.Just twtweet to say I love you.Hahaha relate much po,0.288,0.155,0.558,0.4767,Positive
3227,"@lenirobredo @pinoyakoblog indeed, you are the leader our town needs!We will continue to stand up for you and Kiko 💕💕💕🙏",0.0,0.0,1.0,0.0,Neutral
3228,@Banning716 @Brymac9168 @lenirobredo lawyers for Leni is just like a figurine.Hahahaha,0.217,0.0,0.783,0.3612,Positive
3229,@gmanews @lenirobredo @bagbongmarcos @Aikarobredo Desperada,0.0,0.0,1.0,0.0,Neutral
3230,@lenirobredo thank you ma'am,0.455,0.0,0.545,0.3612,Positive
3231,"Hopefully @lenirobredo has won a public transportation one of his changes and improvements.Even the pedestrian lane here under the MRT Ortigas station is also repaired.

#Ipanalona10to",0.218,0.0,0.782,0.7506,Positive
3232,@Dodzacct2876 @lenirobredo pa victim card activated😂,0.0,0.296,0.704,-0.2732,Negative
3233,"@Skywayfriends @gmanews @lenirobredo @bagbongmarcos @Aikarobredo ay ate, you blame you so much that you don't know anything.What is your twag?In the past, it was news that Ka Leody wanted to have Leni, but Leni's camp didn't want to.That's not surprising.",0.0,0.124,0.876,-0.503,Negative
3234,Fear of opponents so making a smear campaign against VP @lenirobredo and her daughters ... hopefully we will not just believe the widespread fakenews ..,0.091,0.201,0.708,-0.507,Negative
3235,@Brymac9168 @lenirobredo same thoughts.Bbm dont need to go into black propaganda his supporters are just waiting for May 9.,0.132,0.091,0.776,0.2263,Positive
3236,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 you too Sotto, one more you are.You have previously appeared in the very Senate of the film saying that the US virus is from the US.Linchak!The stupid one to believe in that, so much fun!After you nabash, you say someone just gave you a film, marites!",0.0,0.071,0.929,-0.6458,Negative
3237,"@inquiredotnet #withallduerespect, there's a ""@lenirobredo"" pattern here: she's a ""victim"" narrative, good v.Evil, it's negative, theatrics.This issue only feeds all these.Hence, no one is buying that a runaway frontrunner, @bagbongmarcos, is behind it.#Bitchplease, #StopTheHateCampaign.",0.079,0.16,0.761,-0.4588,Negative
3238,"@gmanews @lenirobredo @bongbongmarcos @Aikarobredo Yang BBM and Sara, that's a traitor.If there were martial law victims for Ferdinand, in Rodrigo's time, there was also a massacre.Then now, will they sit in the position?Trolls and their supporters, stupid.What will happen to that satin?Double penalties.Think...",0.073,0.052,0.875,0.2406,Positive
3239,@LugawNalata @Kyle01TheUndead @Allespant @lav2heart14 @thegary86481490 @Anyanezenow88 @chadachada17 @love_meow_24 @pinlawan1889 @fakyoto @paktooth @jimmy93171751 i @nilesneel @coffeecupsszzzz @dutaetaete @wongli2515 @mael_opreuce_88 @k_tanega @lino_iam @bernallene @jobjorl@Mistpersie @crimsonyuni @ronaldr75484618 @julezjeremy @iampatriotmds @yesyesyo13 @anunnaki09 @recordbreakerrr @buangsonny @imnotadds @onepiecesetshen @anthonybicolan o @mdsonwardph22 @bhevzkyren @marc012378 @little_b_o_y @ralfymannheim @giososng @bamaquino @lenirobredo😂,0.0,0.0,1.0,0.0,Neutral
3240,@mypecker009 pfffff invented kampawets.😂😂😂😂 Yourself @LenirObredo @barrygutierrez3 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,0.0,0.0,1.0,0.0,Neutral
3241,@villanelle_xiao @anticorrupt2022 @jedqcepe @jaytwotheworld @barrygutierrez3 @bamaquino @lenirobredo https://t.co/ndzuyzltzv,0.0,0.0,1.0,0.0,Neutral
3242,"@Mrfrankbarang @lenirobredo ironic how can you guys say that when you can't even address President Duterte as president since the beginning.

Get your dad down.Namoka!",0.0,0.069,0.931,-0.2003,Negative
3243,@annecurtissmith @lenirobredo I like the rose case in red lng color 😁😁,0.2,0.0,0.8,0.3612,Positive
3244,"VP Leni Robredo said the increased attacks of the Marcos camp against her via “fake news” came as no surprise, as she had experienced this in the 2016 vice presidential race, when her survey numbers started to pick up.#Phvote #wedecide

Read: https://t.co/2DQL39uxom https://t.co/6klioy4xjz",0.087,0.106,0.807,-0.2263,Negative
3245,@Reynaldsoriano4 @lenirobredo sanaol 😭,0.0,0.0,1.0,0.0,Neutral
3246,"@Skywayfriends @gmanews @lenirobredo @bagbongmarcos @Aikarobredo a so, you mean what happened to Aika is karma lng din?",0.0,0.0,1.0,0.0,Neutral
3247,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03 can't handle or accept the rest of the dilawan's, not!They can't taste it!You're just making a story, Pinky!You really are Marites!You are probably the Marcos Duterte!",0.0,0.085,0.915,-0.5191,Negative
3248,"@Brymac9168 @wowtheosantos @lenirobredo and will he do that for free? ...
The ""TAKE"" is just that ... 😅😅😅",0.163,0.0,0.837,0.5106,Positive
3249,@gmanews @lenirobredo @bongbongmarcos @Aikarobredo weird.It's just you to talk to you.Mother is really this pillawan 😂,0.0,0.0,1.0,0.0,Neutral
3250,"O Mrs.@lenirobredo
You are already satisfied with Atty's response.Vic Rodriguez?If not and you are a lawyer, you will sue if that is true of what you are blaming.If not, @Bamaquino will just plan this sex scandal by @Aikarobredo https://t.co/7P8LPVZMCQ",0.132,0.068,0.8,0.4019,Positive
3251,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03And here's the truth, the real core Deep True Blue is yellow to endorse Sotto!They can't do that!Although some have said it is not a light but it is a conspiracy to conspiracy to Sotto",0.096,0.181,0.722,-0.8217,Negative
3252,@iskolarium @lenirobredo @kikopangilinan happy birthday 🥳,0.481,0.0,0.519,0.5719,Positive
3253,"@Argos68959230 @geraldpacaon_ @ogiediaz @lenirobredo sir, live in your own bubble.We have no room for fake news, spliced videos, fake quote cards here.Just make sure that you are voting for your country.I'm pretty sure I am.",0.176,0.19,0.633,-0.1531,Negative
3254,"@Graceeverlast @lenirobredo @sejoalzir @lu_thang_ @josesteii @franciscojoy23 @lenidoro @lenidoror @disisyiti @lakas_cmdph @ancalerts @kalel_joaquin03?Puri include Kiko's shouting?Even in front of the political bigwigs like the de Venecia, include Kiko's shouting!How can Leni think that?And Leni really chose Kiko, but can she do that?",0.07,0.0,0.93,0.4592,Positive
3255,"@gmanews @lenirobredo @bongbongmarcos @Aikarobredo don't need to ask who spread those.Didn't they start the fake news.Desperate moves.Everything will just break VP Leni, there is even worse jan.So be careful and don't believe ...
#10ROBREDOFURPRATE
#GOBYERNongPapat Life",0.039,0.152,0.809,-0.6808,Negative
